video_id,track_id,start_frame,end_frame,behavior,label,confidence
LOIT_0000,T_S000,0,582,loitering,1,1.0
LOIT_0001,T_S001,0,488,normal_queue,0,1.0
LOIT_0002,T_S002,0,597,loitering,1,1.0
LOIT_0003,T_S003,0,498,normal_queue,0,1.0
LOIT_0004,T_S004,0,569,loitering,1,1.0
LOIT_0005,T_S005,0,550,normal_waiting_then_leaves,0,1.0
LOIT_0006,T_S006,0,558,loitering,1,1.0
LOIT_0007,T_S007,0,589,normal_browsing,0,1.0
LOIT_0008,T_S008,0,535,loitering,1,1.0
LOIT_0009,T_S009,0,481,normal_waiting_then_leaves,0,1.0
LOIT_0010,T_S010,0,474,loitering,1,1.0
LOIT_0011,T_S011,0,495,normal_browsing,0,1.0
LOIT_0012,T_S012,0,452,loitering,1,1.0
LOIT_0013,T_S013,0,439,normal_browsing,0,1.0
LOIT_0014,T_S014,0,542,loitering,1,1.0
LOIT_0015,T_S015,0,546,normal_waiting_then_leaves,0,1.0
LOIT_0016,T_S016,0,562,loitering,1,1.0
LOIT_0017,T_S017,0,568,normal_queue,0,1.0
LOIT_0018,T_S018,0,515,loitering,1,1.0
LOIT_0019,T_S019,0,597,normal_browsing,0,1.0
LOIT_0020,T_S020,0,564,loitering,1,1.0
LOIT_0021,T_S021,0,594,normal_waiting_then_leaves,0,1.0
LOIT_0022,T_S022,0,522,loitering,1,1.0
LOIT_0023,T_S023,0,455,normal_queue,0,1.0
