video_id,track_id,start_frame,end_frame,behavior,label,confidence
CFLW_0000,T_S000,0,329,counter_flow,1,1.0
CFLW_0001,T_S001,0,372,normal_with_flow,0,1.0
CFLW_0002,T_S002,0,367,counter_flow,1,1.0
CFLW_0003,T_S003,0,408,normal_with_flow,0,1.0
CFLW_0004,T_S004,0,381,counter_flow,1,1.0
CFLW_0005,T_S005,0,303,normal_with_flow,0,1.0
CFLW_0006,T_S006,0,398,counter_flow,1,1.0
CFLW_0007,T_S007,0,410,normal_with_flow,0,1.0
CFLW_0008,T_S008,0,393,counter_flow,1,1.0
CFLW_0009,T_S009,0,400,normal_with_flow,0,1.0
CFLW_0010,T_S010,0,329,counter_flow,1,1.0
CFLW_0011,T_S011,0,358,normal_with_flow,0,1.0
CFLW_0012,T_S012,0,414,counter_flow,1,1.0
CFLW_0013,T_S013,0,404,normal_with_flow,0,1.0
CFLW_0014,T_S014,0,305,counter_flow,1,1.0
CFLW_0015,T_S015,0,374,normal_with_flow,0,1.0
CFLW_0016,T_S016,0,390,counter_flow,1,1.0
CFLW_0017,T_S017,0,361,normal_with_flow,0,1.0
CFLW_0018,T_S018,0,358,counter_flow,1,1.0
CFLW_0019,T_S019,0,420,normal_with_flow,0,1.0
CFLW_0020,T_S020,0,338,counter_flow,1,1.0
CFLW_0021,T_S021,0,383,normal_with_flow,0,1.0
CFLW_0022,T_S022,0,410,counter_flow,1,1.0
CFLW_0023,T_S023,0,311,normal_with_flow,0,1.0
